Unnamed: 0,Model Year,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),Fuel Consumption(Comb (mpg)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Fuel Efficiency City,Fuel Efficiency Highway,Fuel Efficiency Combined,Engine Group,Efficiency Ratio City,Efficiency Ratio Highway,Efficiency Ratio Combined,Emission Rate CO2 level
75,2022,4,19,2,2.0,4,12,3,10.1,7.4,8.9,32,206,6,7,0.099009900990099,0.1351351351351351,0.1123595505617977,1,0.0495049504950495,0.06756756756756754,0.05617977528089885,1.0
76,2022,4,20,1,3.0,6,12,3,10.5,8.1,9.4,30,219,5,5,0.0952380952380952,0.1234567901234568,0.1063829787234042,3,0.03174603174603174,0.0411522633744856,0.0354609929078014,0.83
77,2022,4,32,1,4.4,8,12,3,13.9,9.6,12.0,24,279,4,3,0.0719424460431654,0.1041666666666666,0.0833333333333333,4,0.016350555918901225,0.023674242424242407,0.01893939393939393,0.66
78,2022,4,31,1,4.4,8,12,3,13.9,9.6,12.0,24,279,4,3,0.0719424460431654,0.1041666666666666,0.0833333333333333,4,0.016350555918901225,0.023674242424242407,0.01893939393939393,0.66
79,2022,4,92,1,4.4,8,12,3,13.9,9.6,12.0,24,279,4,3,0.0719424460431654,0.1041666666666666,0.0833333333333333,4,0.016350555918901225,0.023674242424242407,0.01893939393939393,0.66
80,2022,4,93,2,4.4,8,12,3,13.9,9.6,12.0,24,279,4,3,0.0719424460431654,0.1041666666666666,0.0833333333333333,4,0.016350555918901225,0.023674242424242407,0.01893939393939393,0.66
81,2022,4,94,8,4.4,8,12,3,15.7,11.5,13.8,20,321,3,3,0.0636942675159235,0.0869565217391304,0.072463768115942,4,0.014475969889982612,0.01976284584980236,0.016469038208168637,0.49
82,2022,4,382,0,2.0,4,12,3,10.4,7.8,9.2,31,214,5,3,0.0961538461538461,0.1282051282051282,0.108695652173913,1,0.04807692307692305,0.0641025641025641,0.0543478260869565,0.83
83,2022,4,383,12,3.0,6,12,3,10.4,7.5,9.1,31,212,5,5,0.0961538461538461,0.1333333333333333,0.1098901098901098,3,0.032051282051282035,0.04444444444444443,0.036630036630036604,0.83
84,2022,4,386,0,3.0,6,21,3,14.7,10.1,12.6,22,293,4,5,0.0680272108843537,0.099009900990099,0.0793650793650793,3,0.022675736961451236,0.033003300330033,0.026455026455026436,0.66
85,2022,4,384,0,3.0,6,12,3,14.5,10.2,12.6,22,292,4,5,0.0689655172413793,0.0980392156862745,0.0793650793650793,3,0.022988505747126433,0.0326797385620915,0.026455026455026436,0.66
86,2022,4,385,0,3.0,6,12,3,14.6,10.5,12.7,22,296,4,5,0.0684931506849315,0.0952380952380952,0.0787401574803149,3,0.0228310502283105,0.03174603174603174,0.02624671916010497,0.66
87,2022,4,387,0,3.0,6,12,3,10.4,7.7,9.2,31,214,5,5,0.0961538461538461,0.1298701298701298,0.108695652173913,3,0.032051282051282035,0.04329004329004327,0.036231884057971,0.83
88,2022,4,388,12,3.0,6,12,3,15.1,10.4,12.9,22,301,3,5,0.0662251655629139,0.0961538461538461,0.0775193798449612,3,0.022075055187637967,0.032051282051282035,0.02583979328165373,0.49
89,2022,4,391,12,3.0,6,21,3,14.7,10.1,12.6,22,293,4,5,0.0680272108843537,0.099009900990099,0.0793650793650793,3,0.022675736961451236,0.033003300330033,0.026455026455026436,0.66
90,2022,4,389,12,3.0,6,12,3,14.5,10.2,12.6,22,292,4,5,0.0689655172413793,0.0980392156862745,0.0793650793650793,3,0.022988505747126433,0.0326797385620915,0.026455026455026436,0.66
91,2022,4,390,12,3.0,6,12,3,14.6,10.5,12.7,22,296,4,5,0.0684931506849315,0.0952380952380952,0.0787401574803149,3,0.0228310502283105,0.03174603174603174,0.02624671916010497,0.66
92,2022,4,392,12,3.0,6,12,3,10.4,7.4,9.1,31,211,5,5,0.0961538461538461,0.1351351351351351,0.1098901098901098,3,0.032051282051282035,0.04504504504504503,0.036630036630036604,0.83
93,2022,4,393,12,3.0,6,12,3,10.4,7.7,9.2,31,214,5,5,0.0961538461538461,0.1298701298701298,0.108695652173913,3,0.032051282051282035,0.04329004329004327,0.036231884057971,0.83
94,2022,4,394,0,3.0,6,12,3,10.9,8.0,9.6,29,224,5,5,0.091743119266055,0.125,0.1041666666666666,3,0.030581039755351664,0.041666666666666664,0.0347222222222222,0.83
95,2022,4,397,2,4.4,8,12,3,16.1,11.0,13.8,20,322,3,3,0.062111801242236,0.0909090909090909,0.072463768115942,4,0.014116318464144545,0.020661157024793386,0.016469038208168637,0.49
96,2022,4,396,2,4.4,8,12,3,16.1,11.0,13.8,20,322,3,3,0.062111801242236,0.0909090909090909,0.072463768115942,4,0.014116318464144545,0.020661157024793386,0.016469038208168637,0.49
97,2022,4,395,2,4.4,8,12,3,16.1,11.0,13.8,20,322,3,3,0.062111801242236,0.0909090909090909,0.072463768115942,4,0.014116318464144545,0.020661157024793386,0.016469038208168637,0.49
98,2022,4,398,2,4.4,8,12,3,13.5,9.3,11.6,24,271,4,3,0.074074074074074,0.1075268817204301,0.0862068965517241,4,0.016835016835016817,0.02443792766373411,0.019592476489028204,0.66
99,2022,4,399,1,6.6,12,12,3,17.8,11.9,15.1,19,354,3,3,0.0561797752808988,0.0840336134453781,0.0662251655629139,4,0.008512087163772546,0.012732365673542138,0.010034115994380895,0.49
100,2022,4,400,12,4.4,8,12,3,16.1,11.0,13.8,20,322,3,3,0.062111801242236,0.0909090909090909,0.072463768115942,4,0.014116318464144545,0.020661157024793386,0.016469038208168637,0.49
101,2022,4,401,12,4.4,8,12,3,16.1,11.0,13.8,20,322,3,3,0.062111801242236,0.0909090909090909,0.072463768115942,4,0.014116318464144545,0.020661157024793386,0.016469038208168637,0.49
102,2022,4,402,12,4.4,8,12,3,16.1,11.0,13.8,20,322,3,3,0.062111801242236,0.0909090909090909,0.072463768115942,4,0.014116318464144545,0.020661157024793386,0.016469038208168637,0.49
